type,familySlug,status,detail,url
manifest,tata-nexon-ev,complete,,
manifest,tata-punch-ev,complete,,
manifest,tata-curvv-ev,complete,,
manifest,tata-tiago-ev,complete,,
manifest,mg-comet-ev,complete,,
manifest,mg-zs-ev,complete,,
manifest,mahindra-be-6,complete,,
manifest,mahindra-xev-9e,complete,,
manifest,mahindra-xuv400,complete,,
manifest,byd-atto-3,complete,,
manifest,hyundai-kona-electric,complete,,
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/hero"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/listing-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/compare-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/og"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/exterior-1"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/exterior-2"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/exterior-3"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/interior-1"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/charging-port"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/hero"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/listing-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/compare-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/og"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/exterior-1"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/exterior-2"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/exterior-3"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/interior-1"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/charging-port"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/hero"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/listing-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/compare-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/og"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/exterior-1"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/exterior-2"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/exterior-3"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/interior-1"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/charging-port"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/hero"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/listing-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/compare-thumb"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/og"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/exterior-1"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/exterior-2"
broken,,fetch failed,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/exterior-3"
